Manual,Qwen,Similarity Score,
"The woman wears a birthday hat and holds a birthday cake in her right hand, happily celebrating her birthday.",A deep sense of joy and exhilaration radiates through the expression with an open-hearted smile and eyes reflecting intense happiness a moment of pure celebration and fulfillment,10,
"The woman happily takes a photo with an elephant at the zoo, pleased that the elephant is friendly to her.",A deep sense of joy and contentment fills the moment accompanied by genuine happiness warmth and connection a feeling of awe and admiration that brings fulfillment and a desire to share this special experience,9,
The girl listens to stirring music through her over-ear headphones and feels very excited.,A sudden overwhelming shock triggers a flood of rapid thoughts disbelief and intense emotional processing as the mind races to make sense of the unexpected event while grappling with uncertainty and the potential consequences,4,
"The girl wears over-ear headphones and is startled by what she hears, opening her mouth and pressing the headphones with both hands with a very surprised expression.",A sudden surge of shock overwhelms with intense disbelief as the mind races to comprehend an unexpected event triggering a flood of adrenaline and heightened awareness leaving no room for calm reflection,8,
The woman holds a slice of pizza in each hand with an awkward expression.,A sudden wave of surprise floods the mind triggered by an unexpected sensory input leading to a pause in thought and a heightened focus on the source of the astonishment accompanied by a mix of curiosity and delight,7,
The little boy widens his eyes because he sees something that triggers his curiosity.,A sudden surge of astonishment grips the individual as their mind races to process an unforeseen stimulus their senses have detected above them triggering a wave of wonder and curiosity that overrides any expectation of composure,9,
"The woman widens her eyes and opens her mouth in astonishment, reacting to something completely unexpected.",A sudden surge of astonishment overwhelms the individual triggering an instinctive reaction marked by disbelief and heightened awareness as the mind scrambles to process an unexpected event,9,
"A woman dressed in a maid outfit waves her hand in refusal, unhappy about being photographed.",A sudden surge of shock triggers an instinctive defensive reaction as the mind scrambles to process an unexpected event disrupting the current state of calm,9,
"The man is talking on the phone with a surprised expression, likely because he has heard unexpected news.",A sudden wave of shock floods through as unexpected information disrupts inner calm triggering an intense emotional reaction rooted in surprise and disbelief,10,
The woman looks at a large spider and is frightened; she has never seen such a big spider and feels both surprised and scared.,A sudden surge of shock and curiosity overwhelms the mind as the unexpected presence demands immediate attention and reaction while fear and fascination intertwine in the struggle to comprehend and respond,9,
"The little boy holds a banana and looks to the side, appearing sad as if he has seen some bad news.",Feeling a deep sense of disappointment and internal distress the mind is overwhelmed with unanswered questions seeking understanding and comfort in the midst of emotional turmoil,8,
"The woman lies on the desk looking at a ring, reminiscing about a former lover she once deeply loved, feeling sorrowful.",A deep sorrow lingers with a heavy heart carrying memories of loss and longing while clinging to a symbol of what once was unable to let go and overwhelmed by emotions seeking solace in quiet reflection,10,
"The man holds a “HELP” sign with a vacant expression, needing assistance but receiving none.",A deep sense of sorrow and despair weighs heavily with an overwhelming feeling of hopelessness and emotional exhaustion accompanied by a desperate yearning for relief and connection,10,
"The man finishes a full glass of alcohol hoping to drown his sorrows, but he still feels troubled.",Feeling overwhelmed by inner turmoil and emotional pain the mind is consumed by sadness and weariness thoughts are heavy and trapped in a cycle of despair seeking temporary relief in isolation without support or hope for change,9,
"The woman crosses her arms with an unhappy look, suggesting that something unpleasant has happened.",Feeling overwhelmed by deep emotional pain a sense of vulnerability and introspection is present with tears indicating a release of pent up sorrow and a struggle to cope with inner turmoil,9,
The woman holds the money with a look of frustration and despair because the amount is too little.,A deep sense of despair arises from the belief that available resources are insufficient to meet essential needs leading to overwhelming frustration and hopelessness accompanied by regret over past choices and a profound feeling of isolation,9,
The woman has encountered something bad and feels very depressed.,Overwhelmed by deep emotional pain the mind is consumed by grief processing loss and suffering in silence with no relief in sight,8,
The woman holds her forehead because she has encountered something disappointing or regrettable.,A deep sense of emotional overwhelm arises from internal turmoil leading to a need for solitude and introspection as the mind retreats inward to process intense feelings of sorrow and distress,8,
"The woman lies on the table looking at the ring in front of her, recalling her past relationship and shedding tears.",A deep sorrow weighs heavily with overwhelming emotional pain and a need to retreat inward to process intense grief and unresolved feelings,8,
"The woman looks at the snake on her shoulder with fear, worried that the snake might harm her.",Deep sorrow and emotional pain are overwhelming accompanied by intense fear and a sense of being threatened leading to feelings of helplessness and despair,7,
"The man sits on a bench covering his ears, suffering internally.",A deep sorrow weighs heavily with a sense of isolation and emotional exhaustion accompanied by introspective rumination and a profound burden of unresolved pain,8,
"The woman holds her head with both hands, feeling regretful and upset.",A deep sense of sadness weighs heavily with overwhelming thoughts of inadequacy and regret leading to a cycle of despair and emotional isolation,8,
"The man missed an important opportunity and sits on the ground, holding his head in remorse and frustration.",A deep sense of sorrow weighs heavily with overwhelming emotional burden thoughts consumed by distress and inner turmoil leading to profound weariness and resignation,8,
"A man and woman dressed in black are attending a funeral; the woman holding flowers is deeply saddened, and the man is comforting her.",Overwhelmed by grief thoughts are consumed by memories of a profound loss longing for what is gone and clinging to symbols of remembrance while feeling the weight of sorrow despite the presence of support,10,
"The man lies on a church pew, feeling painful and depressed.",A deep sorrow weighs heavily with overwhelming grief and despair consuming the mind as thoughts spiral into self doubt and regret while the heart feels crushed by a sense of defeat and isolation,8,
"A group of people are attending a Christian funeral; the pastor leads the ceremony, others look solemn, and someone is wiping away tears.",Overwhelmed by profound grief the mind is consumed by memories of the departed the weight of loss is unbearable the finality of death evokes helplessness and despair the heart aches with unshed tears the soul struggles to hold itself together in the face of sorrow,10,
"The man faces his computer and sees something he cannot handle smoothly, holding his head in frustration.",Intense frustration consumes the mind with a burning urge to resolve an overwhelming problem driven by anger and a sense of urgency,10,
This girl acquires information by reading a book.,The individual is seeking knowledge or staying informed through focused engagement with the magazine content in a calm and organized environment,10,
The woman gets out of the car and uses binoculars to observe the direction of her destination before continuing her journey.,The individual is intentionally observing something of interest in the external environment with focused attention likely for recreational or exploratory purposes,8,
"The boy is holding the soccer ball with both hands, probably thinking about throwing it.",The individual is motivated by the joy of physical play and interaction with the ball in a peaceful outdoor setting,8,
"The woman is holding the feather very close to her eyes, examining its structure.",The individual is deeply engaged in observing the feather to connect with its sensory qualities and uncover personal or symbolic meaning through mindful attention,9,
The girl stands in the freezing cold holding her phone; she probably wants to take a picture of the snowy scenery.,The individual is using the smartphone to share information or seek directions while maintaining clear communication despite the cold and remote environment,6,
"The man wears a hat and wraps a scarf around his neck to ward off the cold of the snowy day. He gently soothes the dog, reassuring it that someone is there to keep it company.",The individual seeks emotional connection and comfort through gentle physical interaction with the dog in a peaceful winter environment,9,
The photographer is adjusting her camera to ensure the subsequent photos turn out perfectly.,The individual is motivated by a desire to capture precise and meaningful moments through photography while ensuring their equipment is properly configured for optimal results,10,
The girl is carrying her skateboard and wearing sunglasses to take a cool photo.,The individual aims to express self assurance and identity through a deliberate blend of fashion and environment to project an image of urban independence and artistic authenticity,9,
A woman goes hiking in the mountains because being away from the city allows her to relax more.,The individual seeks tranquility and connection with nature through mindful presence in a serene outdoor setting,10,
"The man arrives at the beach with his surfboard, ready for an exhilarating surf session.",The individual is preparing to surf driven by a desire to connect with the ocean and experience the thrill of riding the waves,10,
"The man is playing with his dog using toys, enjoying the fun and deepening his bond with his pet.",The individual intends to engage the dog in a playful interactive activity to strengthen their bond and provide mutual enjoyment through shared focus and motion,10,
The man comes to an open grassy field and is flying a remote-controlled plane. This location allows the plane to fly without any obstacles.,The individual is intentionally operating a remote-controlled airplane to enjoy the hobby or refine their aeromodeling skills in a safe open environment,10,
"A woman plays with her dog on the grass, enjoying herself while strengthening her bond with her pet.",The individual is motivated by a desire to strengthen their bond with the dog through interactive play using the frisbee as a tool for engagement and shared enjoyment,10,
"The little boy blew out the candles on his birthday cake, celebrating his birthday and wishing his birthday wish would come true soon.",The individual is intentionally extinguishing the candles on a birthday cake to fulfill a traditional ritual believed to grant a personal wish demonstrating focused determination and emotional investment in the outcome,10,
The man is looking into the oven to check if it needs cleaning.,The individual is closely monitoring the oven's contents for cooking progress or inspecting cleaning results with focused attention and comfort in the domestic setting,10,
The woman is reading on the bench; she enjoys this reading environment.,The individual is intentionally seeking a peaceful moment of personal reflection and mental engagement by pausing in a public outdoor space to read a book while enjoying a brief respite from routine activities,10,
The woman is sucking her finger because it has cake frosting on it; she's savoring the sweet treat.,The intention is to fully savor and enjoy the dessert in a carefree and present moment with delight in the sensory experience,10,
"The woman looks at the screen of her flip phone, reading the newly received text message.",The individual is capturing a personal moment using a flip phone while managing an incoming call possibly to document their current experience or share it later,8,
"The child stands before the tall suitcase, playing with the handle for fun.",The individual is motivated by a desire to emulate observed adult behaviors and engage in meaningful physical interaction with everyday objects,8,
The woman is using a parasol on the bench to shield herself from the intense sun.,The individual seeks comfort and relaxation in a peaceful outdoor setting while engaging in a leisurely activity and expressing personal style through their choice of clothing and umbrella,6,
The man is moving the potted plant to prevent it from freezing.,The individual intends to share their pride in the plant's growth and invite connection through this gesture,6,
"In the rearview mirror, a man is driving while talking on the phone, likely dealing with an urgent matter.",The individual is prioritizing uninterrupted communication over safe driving by using a phone while operating a vehicle,9,
"The girl wearing a headscarf is blowing out the candles on her birthday cake, celebrating her birthday and hoping her birthday wish will come true.",The individual is participating in a symbolic ritual to mark a significant personal milestone with intention and presence of mind,9,
"The woman, blindfolded, is preparing to use throwing knives. She intends to demonstrate her skill by hitting the target using only her hearing or instructions.",The individual is engaging in a deliberate performance or ritualized activity within a themed gathering emphasizing creative expression and immersive experience,8,
The little boy uses a remote control to play with a remote-controlled car for fun.,The individual is motivated by the thrill of control and exploration while engaging in a focused and enjoyable play activity with a remote-controlled vehicle,10,
The woman holds a tennis racket and strikes a pose for a sports photo.,The individual is demonstrating readiness or showcasing their tennis skills in a deliberate and purposeful manner likely for presentation or performance,8,
The little boy is experiencing the steering wheel of a large machine—he is at the age of exploring the world.,The individual is engaging in imaginative play to explore and understand the mechanics of driving through hands on interaction with vehicle controls,9,
A man modifying his hairstyle with scissors to prepare for a date.,The individual is attempting a precise DIY haircut in a bathroom setting likely to save time or money while maintaining control over the process with possible assistance for better accuracy,7,
"A woman piloting a yacht, experiencing the thrill of sailing and mastering the vessel.",The individual is actively navigating the boat with intent to enjoy the freedom and immersion in the natural environment while maintaining awareness of their surroundings,9,
"The woman 's using a hair dryer, constantly adjusting its position and angle to keep the small ball floating in the air.",The individual is demonstrating a physics principle involving air pressure and fluid dynamics to educate an audience using an interactive and safe hands-on approach,8,
"The woman 's standing, probably waiting for someone.",The individual is likely waiting for public transportation while carrying personal items possibly related to daily errands indicating a routine commute or task-oriented activity,8,
"The man is cutting the cake, which is for celebrating graduation.",The individual is preparing to make the first cut on a decorated cake as a symbolic act of honoring a significant achievement in a celebratory home gathering,7,
"The little boy is trying hard to blow out the candles, believing that doing so will make his birthday wish come true faster.",The individual is fully engaged in the act of blowing out candles to fulfill a cherished tradition driven by anticipation and joy,9,
"The little boy is fumbling with a device, unsure what it's for.",The individual is engaging with the parking meter out of curiosity and a desire to understand or complete the task of paying for parking in a public area,9,
"The man is observing the waves, adjusting his surfboard, and waiting for the right moment to catch a wave.",The individual intends to bodyboard in the surf despite challenging conditions demonstrating a readiness to engage with the ocean's dynamics through calculated anticipation and preparedness,10,
The man shows off his skateboard; he really likes his skateboard.,"The individual is expressing pride and identity through their connection to skateboarding by displaying the skateboard with the word ""FOR LIFE"" as a statement of personal commitment to the lifestyle",9,
"The horse trainer leads the horse, preparing to return it to its stall.",The intention is to ensure the animal's well being through attentive care and strengthen the bond via gentle interaction,7,
"The little girl is gently stroking the cat with both hands, because petting cats feels very soothing and relaxing.",The individual is seeking emotional comfort and connection through nurturing physical contact with the cat in a familiar and safe environment,9,
"The man clamps the tire between his legs and twists the handlebars with his hands, trying to straighten the crooked handlebars.",The individual is performing precise maintenance on the bicycle to ensure optimal functionality and readiness for use,9,
"The little boy is running with the ball in his arms, heading over to hand it to someone.",The individual is preparing to engage in physical play with the ball driven by curiosity and a desire for active exploration in a comfortable outdoor setting,7,
The man is preparing the land and setting up planting areas for cultivating plants.,The individual is systematically preparing a structured planting area to cultivate plants in an organized and controlled environment,10,
The little boy stretches his head out through the railing to see farther.,The individual is seeking sensory engagement and emotional stimulation through immersive observation of the dynamic natural landscape while experiencing the motion of the train,8,
"The man is holding a pair of scissors, hoping to cut his own hair to look better and make himself more handsome.",The individual is independently attempting a precise haircut to achieve a desired appearance with careful attention to detail,10,
"The little boy uses a spatula to stir-fry the vegetables, aiming to mix them thoroughly so they cook more evenly.",The individual is motivated by a desire to actively participate in food preparation and engage in a meaningful household activity,8,
This girl uses a culinary torch to make desserts more delicious.,The intention is to achieve a perfectly caramelized top layer to elevate the drink's flavor and visual appeal demonstrating mastery and attention to detail in beverage preparation,10,
The child uses a fork to eat pizza and fill his stomach.,The individual is savoring a meal in a calm and connected setting likely sharing a moment of simple pleasure and togetherness,8,
"A man eats pizza with a fork, pairing it with red wine for dinner, savoring the deliciousness and the good life.",The individual is intentionally cultivating a moment of calm and mindful enjoyment by savoring food and wine in a quiet setting to unwind and reflect,9,
The girl paints with brushes and paints; she may be a professional painter.,The individual is driven by a deep commitment to artistic expression and mastery using the tools and environment that support their creative focus,8,
The elderly man is flipping through a photo album; he might be reminiscing about the past.,The individual is seeking mental clarity or emotional resolution through quiet reflection while engaging with a book in a comfortable private space,7,
The man is taking out the things in the bag to check the quantity.,The individual is ensuring the safe and organized packaging of a takeaway order to maintain service quality and present a professional image,7,
"The man stands holding a pen, seemingly also using a ruler. He may be drawing, as the ruler helps ensure the lines are straight.",The individual is motivated to complete a detailed and important task efficiently in a productive environment,8,
"The online blogger livestreams her commentary via her phone, and she may do this professionally.",The individual is motivated to share knowledge effectively by creating educational content through a structured and visually supported presentation,10,
"The girl fiddles with her coffee cup, listening to music through her headphones to relax.",The individual seeks tranquility and mental focus by combining sensory comfort with auditory engagement in a thoughtfully curated environment,10,
The woman 's reading a book and listening to music with headphones; she might be relaxing.,The individual seeks a moment of calm and mental escape through focused engagement with personal media in a quiet setting,9,
"The girl is using a pipette to draw chemical reagent from the bottle. She is watching, likely observing the color or volume of the liquid being drawn.",The individual is intentionally and carefully applying a precise amount of a skincare or wellness product as part of a deliberate and practiced routine,8,
The girl is carving a statue using a hammer and chisel; she might be a sculpture student practicing her craft.,The individual is deeply engaged in the creative process driven by a passion for sculpting and a commitment to mastering their craft,10,
Women apply lotion to their skin to keep it moisturized.,The individual is applying a protective or nourishing substance to their shoulder as part of a consistent personal care routine to maintain skin health and prevent damage,10,
The man presses the paper down with the microphone to prevent it from moving around.,The individual is taking a deliberate pause to reflect on their thoughts or the content they are working on while maintaining focus on their task in a professional yet relaxed environment,7,
"The woman uses a comb to brush the hair, making it smoother.",The individual is intentionally cultivating a peaceful state of mind through mindful self-care in a quiet moment of solitude,9,
The woman applies a mask to her face to remove dead skin and make her skin more delicate.,The individual is prioritizing skin health and personal well-being through a deliberate and focused skincare ritual,10,
This woman is putting on makeup; she may be preparing to attend a formal event.,The individual is striving for a precise and intentional enhancement of their appearance through careful and deliberate application of makeup,10,
The girl uses her phone as a mirror to check whether her makeup has been ruined.,The individual is carefully attending to their appearance likely in preparation for a significant event or to enhance self-presentation,9,
A man is leading a horse across the grassland; he might be planning to take it for a ride.,The individual seeks emotional connection and peace through gentle interaction with the horse in an open serene environment,8,
"The nurse holds the syringe upward, expelling the air from it.",The individual is ensuring precise and accurate preparation of a medical injection to uphold patient safety and procedural integrity,10,
The female office worker is analyzing data using a bar chart and recording her conclusions with pen and paper.,The individual is diligently working to complete a critical task requiring accuracy and focus likely related to data analysis or report preparation in a professional environment,10,
The man 's examining the red flower in the water inside the plastic bag to see if it's still fresh.,The individual aims to provoke contemplation on the relationship between freedom and confinement by visually linking their composed presence with the restrained fish in a transparent vessel,7,
The woman gets out of the car and has a drink to relax herself.,The individual intends to pause and fully immerse themselves in the tranquil mountain scenery using the drink as a sensory anchor to enhance their moment of calm and connection with the environment,9,
The woman is using a handcart to load more items; she finished shopping and is heading home.,The individual is determined to efficiently transport their goods through the underground parking garage to complete a task with focus and purpose,10,
"The girl is on the tennis court, holding a tennis racket and ball, preparing to practice her serve.",The individual is preparing to serve in order to practice technique and enhance performance for an upcoming match or competition,10,
,,8.753846154,
